"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"53","Amit Mishra","Bowler",47500000,"Sunrisers Hyderabad",2014,"Indian","LS","Spinner",60,1270,"211.4",1559,63,"7.37","20.16"
"54","Amit Mishra","Bowler",3.5e+07,"Delhi Daredevils",2015,"Indian","LS","Spinner",60,1270,"211.4",1559,63,"7.37","20.16"
"55","Amit Mishra","Bowler",1e+06,"Gujarat Lions",2016,"Indian","LS","Spinner",60,1270,"211.4",1559,63,"7.37","20.16"
"56","Amit Mishra","Bowler",4e+07,"Delhi Daredevils",2018,"Indian","LS","Spinner",60,1270,"211.4",1559,63,"7.37","20.16"
"57","Amit Paunikar","Wicket Keeper",2e+06,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Andre Russell","All-Rounder",6e+06,"Kolkata Knight Riders",2014,"Overseas","RFM","Pacer",75,1343,"223.5",1875,75,"8.38","17.91"
"59","Andrew Tye","Bowler",2e+06,"Chennai Super Kings",2015,"Overseas","RFM","Pacer",40,901,"150.1",1158,51,"7.71","17.67"
"60","Andrew Tye","All-Rounder",5e+06,"Gujarat Lions",2016,"Overseas","RFM","Pacer",40,901,"150.1",1158,51,"7.71","17.67"
"61","Andrew Tye","Bowler",7.2e+07,"Kings XI Punjab",2018,"Overseas","RFM","Pacer",40,901,"150.1",1158,51,"7.71","17.67"
"62","Andrew Tye","Bowler",1e+07,"Rajasthan Royals",2020,"Overseas","RFM","Pacer",40,901,"150.1",1158,51,"7.71","17.67"
"63","Aneeshwar Gautam","All-Rounder",2e+06,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Angelo Mathews","All-Rounder",7.5e+07,"Delhi Daredevils",2015,"Overseas","RFM","Pacer",44,786,"131.0",970,27,"7.40","29.11"
"65","Angelo Mathews","All-Rounder",2e+07,"Delhi Daredevils",2017,"Overseas","RFM","Pacer",44,786,"131.0",970,27,"7.40","29.11"
"66","Aniket Choudhary","Bowler",2e+07,"Royal Challengers Bangalore",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Aniket Choudhary","Bowler",3e+06,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Anirudha Ashok Joshi","All-Rounder",2e+06,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Anirudha Ashok Joshi","All-Rounder",2e+06,"Rajasthan Royals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Ankeet Bawane","Batsman",1e+06,"Delhi Daredevils",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Ankit Nagendra Sharma","Bowler",1e+06,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
