"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"185","Christopher Morris","All-Rounder",1.4e+07,"Rajasthan Royals",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Christopher Morris","All-Rounder",7e+07,"Delhi Daredevils",2016,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Christopher Morris","All-Rounder",1e+08,"Royal Challengers Bangalore",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Christopher Morris","All-Rounder",162500000,"Rajasthan Royals",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Clinton McKay","Bowler",7500000,"Sunrisers Hyderabad",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Colin De Grandhomme","All-Rounder",2.2e+07,"Royal Challengers Bangalore",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Colin Ingram","Batsman",6.4e+07,"Delhi Capitals",2019,"Overseas","LS","Spinner",13,218,"36.2",269,12,"7.40","18.17"
"192","Colin Munro","All-Rounder",3e+06,"Kolkata Knight Riders",2016,"Overseas","RFM","Pacer",15,162,"27.0",249,7,"9.22","23.14"
"193","Colin Munro","All-Rounder",1.9e+07,"Delhi Daredevils",2018,"Overseas","RFM","Pacer",15,162,"27.0",249,7,"9.22","23.14"
"194","Corey Anderson","All-Rounder",4.5e+07,"Mumbai Indians",2014,"Overseas","LFM","Pacer",30,474,"79.0",680,19,"8.61","24.95"
"195","Corey Anderson","All-Rounder",1e+07,"Delhi Daredevils",2017,"Overseas","LFM","Pacer",30,474,"79.0",680,19,"8.61","24.95"
"196","Dale Steyn","Bowler",2.3e+07,"Gujarat Lions",2016,"Overseas","RFM","Pacer",56,1269,"211.3",1490,63,"7.04","20.14"
"197","Dale Steyn","Bowler",2e+07,"Royal Challengers Bangalore",2020,"Overseas","RFM","Pacer",56,1269,"211.3",1490,63,"7.04","20.14"
"198","Dan Christian","All-Rounder",4.8e+07,"Royal Challengers Bangalore",2021,"Overseas","RFM","Pacer",56,855,"142.3",1264,31,"8.87","27.58"
"199","Daniel Christian","All-Rounder",7500000,"Royal Challengers Bangalore",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Daniel Christian","All-Rounder",1e+07,"Rising Pune Supergiant",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Daniel Christian","All-Rounder",1.5e+07,"Delhi Daredevils",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Daniel Sams","All-Rounder",2.6e+07,"Mumbai Indians",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Darcy Short","All-Rounder",4e+07,"Rajasthan Royals",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Darren Bravo","Batsman",5e+06,"Kolkata Knight Riders",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Darren Sammy","All-Rounder",31875000,"Sunrisers Hyderabad",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Darren Sammy","All-Rounder",3.5e+07,"Sunrisers Hyderabad",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Darren Sammy","All-Rounder",2.8e+07,"Royal Challengers Bangalore",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Darren Sammy","All-Rounder",3e+06,"Kings XI Punjab",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Darshan Nalkande","All-Rounder",3e+06,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Darshan Nalkande","All-Rounder",2e+06,"Gujarat Titans",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Daryl Mitchell","All-Rounder",7500000,"Rajasthan Royals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","David Miller","Batsman",3e+07,"Kings XI Punjab",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","David Miller","Batsman",7500000,"Rajasthan Royals",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","David Miller","Batsman",3e+07,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","David Warner","Batsman",5.5e+07,"Sunrisers Hyderabad",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","David Warner","Batsman",62500000,"Delhi Capitals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","David Wiese","All-Rounder",2.8e+07,"Royal Challengers Bangalore",2015,"Overseas","RFM","Pacer",37,730,"121.4",1002,46,"8.24","15.87"
"218","David Willey","All-Rounder",2e+07,"Royal Challengers Bangalore",2022,"Overseas","LFM","Pacer",49,1021,"170.1",1319,60,"7.75","17.02"
"219","Dawid Malan","All-Rounder",1.5e+07,"Punjab Kings",2021,"Overseas",NA,NA,5,34,"5.4",49,2,"8.65","17.00"
"220","Debabrata Das","Wicket Keeper",2e+06,"Kolkata Knight Riders",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Deepak Chahar","All-Rounder",1e+06,"Rising Pune Supergiant",2016,"Indian","RFM","Pacer",2,30,"5.0",41,0,"8.20",NA
"222","Deepak Chahar","All-Rounder",8e+06,"Chennai Super Kings",2018,"Indian","RFM","Pacer",2,30,"5.0",41,0,"8.20",NA
"223","Deepak Chahar","Bowler",1.4e+08,"Chennai Super Kings",2022,"Indian","RFM","Pacer",2,30,"5.0",41,0,"8.20",NA
"224","Deepak Hooda","Bowler",4e+06,"Rajasthan Royals",2014,"Indian","OS","Spinner",13,169,"28.1",226,4,"8.02","42.25"
"225","Deepak Hooda","All-Rounder",4.2e+07,"Sunrisers Hyderabad",2016,"Indian","OS","Spinner",13,169,"28.1",226,4,"8.02","42.25"
"226","Deepak Hooda","All-Rounder",3.6e+07,"Sunrisers Hyderabad",2018,"Indian","OS","Spinner",13,169,"28.1",226,4,"8.02","42.25"
"227","Deepak Hooda","All-Rounder",5e+06,"Kings XI Punjab",2020,"Indian","OS","Spinner",13,169,"28.1",226,4,"8.02","42.25"
"228","Deepak Hooda","All-Rounder",57500000,"Lucknow Super Giants",2022,"Indian","OS","Spinner",13,169,"28.1",226,4,"8.02","42.25"
"229","Deepak Punia","All-Rounder",1e+06,"Mumbai Indians",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Devdutt Padikkal","Batsman",2e+06,"Royal Challengers Bangalore",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Devdutt Padikkal","Batsman",77500000,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Devon Conway","Batsman",1e+07,"Chennai Super Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Dewald Brevis","Batsman",3e+07,"Mumbai Indians",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Dhawal Kulkarni","Bowler",1.1e+07,"Rajasthan Royals",2014,"Indian","RFM","Pacer",41,826,"137.4",1068,48,"7.76","17.21"
"235","Dhawal Kulkarni","Bowler",2e+07,"Gujarat Lions",2016,"Indian","RFM","Pacer",41,826,"137.4",1068,48,"7.76","17.21"
"236","Dhawal Kulkarni","Bowler",7500000,"Rajasthan Royals",2018,"Indian","RFM","Pacer",41,826,"137.4",1068,48,"7.76","17.21"
"237","Dhruv Jurel","Wicket Keeper",2e+06,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Dhruv Shorey","All-Rounder",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Digvijay Deshmukh","All-Rounder",2e+06,"Mumbai Indians",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Dinesh Karthik","Wicket Keeper",1.25e+08,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Dinesh Karthik","Wicket Keeper",1.05e+08,"Royal Challengers Bangalore",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Dinesh Karthik","Wicket Keeper",2.3e+07,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Dinesh Karthik","Wicket Keeper",7.4e+07,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Dinesh Karthik","Wicket Keeper",5.5e+07,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Dinesh Salunkhe","All-Rounder",1e+06,"Rajasthan Royals",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Dirk Nannes","Bowler",4.5e+07,"Chennai Super Kings",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Dishant Yagnik","Wicket Keeper",3e+06,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Dominic Drakes","All-Rounder",1.1e+07,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Domnic Joseph Muthuswamy","Bowler",7500000,"Delhi Daredevils",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Dushmanta Chameera","Bowler",2e+07,"Lucknow Super Giants",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Dushmantha Chameera","Bowler",5e+06,"Rajasthan Royals",2018,"Overseas","RFM","Pacer",13,271,"45.1",359,10,"7.95","27.10"
"252","Dwaine Pretorius","All-Rounder",5e+06,"Chennai Super Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Dwayne Bravo","All-Rounder",6.4e+07,"Chennai Super Kings",2018,"Overseas","RFM","Pacer",101,2101,"350.1",2876,123,"8.21","17.08"
"254","Dwayne Bravo","All-Rounder",4.4e+07,"Chennai Super Kings",2022,"Overseas","RFM","Pacer",101,2101,"350.1",2876,123,"8.21","17.08"
"255","Dwayne Smith","Batsman",4.5e+07,"Chennai Super Kings",2014,"Overseas","RFM","Pacer",18,216,"36.0",335,15,"9.31","14.40"
"256","Dwayne Smith","All-Rounder",2.3e+07,"Gujarat Lions",2016,"Overseas","RFM","Pacer",18,216,"36.0",335,15,"9.31","14.40"
"257","Eklavya Dwivedi","Wicket Keeper",1e+06,"Chennai Super Kings",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Eklavya Dwivedi","Wicket Keeper",1e+07,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Eklavya Dwivedi","Wicket Keeper",7500000,"Sunrisers Hyderabad",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Eoin Morgan","Batsman",1.5e+07,"Sunrisers Hyderabad",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Eoin Morgan","Batsman",2e+07,"Kings XI Punjab",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Eoin Morgan","Batsman",52500000,"Kolkata Knight Riders",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Evin Lewis","Batsman",3.8e+07,"Mumbai Indians",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Evin Lewis","Batsman",2e+07,"Lucknow Super Giants",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Fabian Allen","All-Rounder",5e+06,"Sunrisers Hyderabad",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Fabian Allen","All-Rounder",7500000,"Punjab Kings",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Fabian Allen","All-Rounder",7500000,"Mumbai Indians",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Faf Du Plessis","Batsman",47500000,"Chennai Super Kings",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Faf Du Plessis","Batsman",1.6e+07,"Chennai Super Kings",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Faf Du Plessis","Batsman",7e+07,"Royal Challengers Bangalore",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Farhaan Behardien","All-Rounder",3e+06,"Kings XI Punjab",2016,"Overseas",NA,NA,7,90,"15.0",131,5,"8.73","18.00"
"272","Fazalhaq Farooqi","Bowler",5e+06,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Fidel Edwards","Bowler",15750000,"Rajasthan Royals",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Finn Allen","Batsman",8e+06,"Royal Challengers Bangalore",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Gautam Gambhir","Batsman",2.8e+07,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","George Bailey","Batsman",32500000,"Kings XI Punjab",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Glenn Maxwell","All-Rounder",7.5e+07,"Mumbai Indians",2013,"Overseas","OS","Spinner",75,972,"162.0",1327,39,"8.19","24.92"
"278","Glenn Maxwell","All-Rounder",6e+07,"Kings XI Punjab",2014,"Overseas","OS","Spinner",75,972,"162.0",1327,39,"8.19","24.92"
"279","Glenn Maxwell","All-Rounder",9e+07,"Delhi Daredevils",2018,"Overseas","OS","Spinner",75,972,"162.0",1327,39,"8.19","24.92"
"280","Glenn Maxwell","All-Rounder",107500000,"Kings XI Punjab",2020,"Overseas","OS","Spinner",75,972,"162.0",1327,39,"8.19","24.92"
"281","Glenn Maxwell","All-Rounder",142500000,"Royal Challengers Bangalore",2021,"Overseas","OS","Spinner",75,972,"162.0",1327,39,"8.19","24.92"
"282","Glenn Phillips","Wicket Keeper",1.5e+07,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Gurinder Sandhu","Bowler",1.7e+07,"Delhi Daredevils",2015,"Indian","RFM","Pacer",22,480,"80.0",614,21,"7.67","22.86"
"284","Gurkeerat Singh Mann","All-Rounder",5e+06,"Gujarat Titans",2022,"Indian","OS","Spinner",6,78,"13.0",97,5,"7.46","15.60"
"285","Gurkeerat Singh Mann","All-Rounder",7500000,"Delhi Daredevils",2018,"Indian","OS","Spinner",6,78,"13.0",97,5,"7.46","15.60"
"286","Gurkeerat Singh Mann","All-Rounder",5e+06,"Royal Challengers Bangalore",2019,"Indian","OS","Spinner",6,78,"13.0",97,5,"7.46","15.60"
"287","Gurkeerat Singh Mann","Batsman",1.3e+07,"Kings XI Punjab",2014,"Indian","OS","Spinner",6,78,"13.0",97,5,"7.46","15.60"
"288","Hanuma Vihari","Batsman",1e+06,"Sunrisers Hyderabad",2015,"Indian","OS","Spinner",5,36,"6.0",38,1,"6.33","36.00"
"289","Hanuma Vihari","Batsman",2e+07,"Delhi Capitals",2019,"Indian","OS","Spinner",5,36,"6.0",38,1,"6.33","36.00"
"290","Harbhajan Singh","Bowler",2e+07,"Chennai Super Kings",2018,"Indian","OS","Spinner",65,1458,"243.0",1710,68,"7.04","21.44"
"291","Harbhajan Singh","Bowler",2e+07,"Kolkata Knight Riders",2021,"Indian","OS","Spinner",65,1458,"243.0",1710,68,"7.04","21.44"
"292","Hardik Pandya","All-Rounder",1e+06,"Mumbai Indians",2015,"Indian","RFM","Pacer",34,469,"78.1",689,19,"8.81","24.68"
"293","Hardus Viljoen","Bowler",7500000,"Kings XI Punjab",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Harpreet Brar","All-Rounder",2e+06,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Harpreet Brar","All-Rounder",3.8e+07,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Harry Gurney","Bowler",7500000,"Kolkata Knight Riders",2019,"Overseas","LFM","Pacer",35,787,"131.1",1050,41,"8.01","19.20"
"297","Harshal Patel","Bowler",4e+06,"Royal Challengers Bangalore",2014,"Indian","RFM","Pacer",22,413,"68.5",588,22,"8.54","18.77"
"298","Harshal Patel","All-Rounder",2e+06,"Delhi Daredevils",2018,"Indian","RFM","Pacer",22,413,"68.5",588,22,"8.54","18.77"
"299","Harshal Patel","All-Rounder",107500000,"Royal Challengers Bangalore",2022,"Indian","RFM","Pacer",22,413,"68.5",588,22,"8.54","18.77"
"300","Heinrich Klaasen","Wicket Keeper",5e+06,"Royal Challengers Bangalore",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Himmat Singh","Batsman",6500000,"Royal Challengers Bangalore",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Hrithik Shokeen","All-Rounder",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","HS Sharath","Bowler",1e+06,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Imran Tahir","Bowler",1e+07,"Chennai Super Kings",2018,"Overseas","LS","Spinner",53,1184,"197.2",1444,78,"7.32","15.18"
"305","Iqbal Abdullah","All-Rounder",6500000,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Iqbal Abdullah","All-Rounder",1e+06,"Royal Challengers Bangalore",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Irfan Pathan","All-Rounder",2.4e+07,"Sunrisers Hyderabad",2014,"Indian","LFM","Pacer",28,498,"83.0",648,14,"7.81","35.57"
"308","Irfan Pathan","All-Rounder",1.5e+07,"Chennai Super Kings",2015,"Indian","LFM","Pacer",28,498,"83.0",648,14,"7.81","35.57"
"309","Irfan Pathan","All-Rounder",1e+07,"Rising Pune Supergiant",2016,"Indian","LFM","Pacer",28,498,"83.0",648,14,"7.81","35.57"
"310","Ishan Kishan","Wicket Keeper",3500000,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Ishan Kishan","Wicket Keeper",6.2e+07,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Ishan Kishan","Wicket Keeper",152500000,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Ishan Porel","Bowler",2500000,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Ishan Porel","Bowler",2e+06,"Kings XI Punjab",NA,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Ishank Jaggi","Batsman",1e+06,"Kolkata Knight Riders",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Ishank Jaggi","Batsman",2e+06,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Ishant Sharma","Bowler",2.6e+07,"Sunrisers Hyderabad",2014,"Indian","RFM","Pacer",28,622,"103.4",926,22,"8.93","28.27"
"318","Ishant Sharma","Bowler",3.8e+07,"Rising Pune Supergiant",2016,"Indian","RFM","Pacer",28,622,"103.4",926,22,"8.93","28.27"
"319","Ishant Sharma","Bowler",1.1e+07,"Delhi Capitals",2019,"Indian","RFM","Pacer",28,622,"103.4",926,22,"8.93","28.27"
"320","Ishwar Chandra Pandey","Bowler",1.5e+07,"Chennai Super Kings",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Ishwar Chandra Pandey","Bowler",2e+06,"Rising Pune Supergiant",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Isuru Udana","All-Rounder",5e+06,"Royal Challengers Bangalore",2020,"Overseas","LFM","Pacer",1,18,"3.0",34,0,"11.33",NA
"323","J Suchith","Bowler",3e+06,"Sunrisers Hyderabad",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","J Suchith","All-Rounder",1e+06,"Mumbai Indians",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Jacob Oram","All-Rounder",3750000,"Mumbai Indians",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Jacques Kallis","All-Rounder",5.5e+07,"Kolkata Knight Riders",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Jagadeesha Suchith","Bowler",2e+06,"Sunrisers Hyderabad",2022,"Indian","SLA","Spinner",13,246,"41.0",368,10,"8.98","24.60"
"328","Jalaj Saxena","All-Rounder",9e+06,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Jalaj Saxena","All-Rounder",1e+06,"Royal Challengers Bangalore",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Jalaj Saxena","All-Rounder",2e+06,"Delhi Capitals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Jalaj Saxena","All-Rounder",3e+06,"Punjab Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","James Faulkner","All-Rounder",3e+07,"Rajasthan Royals",2013,"Overseas","LFM","Pacer",99,2045,"340.5",2719,122,"7.98","16.76"
"333","James Neesham","All-Rounder",1e+07,"Delhi Daredevils",2014,"Overseas","RFM","Pacer",26,468,"78.0",677,27,"8.68","17.33"
"334","James Neesham","All-Rounder",5e+06,"Kolkata Knight Riders",2015,"Overseas","RFM","Pacer",26,468,"78.0",677,27,"8.68","17.33"
"335","James Neesham","All-Rounder",5e+06,"Kings XI Punjab",2020,"Overseas","RFM","Pacer",26,468,"78.0",677,27,"8.68","17.33"
"336","James Neesham","All-Rounder",5e+06,"Mumbai Indians",2021,"Overseas","RFM","Pacer",26,468,"78.0",677,27,"8.68","17.33"
"337","James Neesham","All-Rounder",1.5e+07,"Rajasthan Royals",2022,"Overseas","RFM","Pacer",26,468,"78.0",677,27,"8.68","17.33"
"338","Jaskaran Singh","Bowler",1e+06,"Rising Pune Supergiant",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Jason Behrendorff","Bowler",1.5e+07,"Mumbai Indians",2018,"Overseas","LFM","Pacer",30,696,"116.0",778,42,"6.71","16.57"
"340","Jason Behrendorff","Bowler",7500000,"Royal Challengers Bangalore",2022,"Overseas","LFM","Pacer",30,696,"116.0",778,42,"6.71","16.57"
"341","Jason Holder","Bowler",1500000,"Chennai Super Kings",2013,"Overseas","RFM","Pacer",16,318,"53.0",465,12,"8.77","26.50"
"342","Jason Holder","Bowler",7500000,"Sunrisers Hyderabad",2014,"Overseas","RFM","Pacer",16,318,"53.0",465,12,"8.77","26.50"
"343","Jason Holder","All-Rounder",7e+06,"Kolkata Knight Riders",2016,"Overseas","RFM","Pacer",16,318,"53.0",465,12,"8.77","26.50"
"344","Jason Holder","All-Rounder",87500000,"Lucknow Super Giants",2022,"Overseas","RFM","Pacer",16,318,"53.0",465,12,"8.77","26.50"
"345","Jason Roy","Batsman",1e+07,"Gujarat Lions",2017,"Overseas",NA,NA,1,6,"1.0",16,0,"16.00",NA
"346","Jason Roy","Batsman",1.5e+07,"Delhi Daredevils",2018,"Overseas",NA,NA,1,6,"1.0",16,0,"16.00",NA
"347","Jason Roy","Batsman",1.5e+07,"Delhi Capitals",2020,"Overseas",NA,NA,1,6,"1.0",16,0,"16.00",NA
"348","Jason Roy","Batsman",2e+07,"Gujarat Titans",2022,"Overseas",NA,NA,1,6,"1.0",16,0,"16.00",NA
"349","Jasprit Bumrah","Bowler",1.2e+07,"Mumbai Indians",2014,"Indian","RFM","Pacer",52,1159,"193.1",1488,54,"7.70","21.46"
"350","Jatin Saxena","All-Rounder",2e+06,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Javon Searless","All-Rounder",3e+06,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Jayant Yadav","All-Rounder",1e+06,"Delhi Daredevils",2014,"Indian","OS","Spinner",8,144,"24.0",154,4,"6.42","36.00"
"353","Jayant Yadav","All-Rounder",5e+06,"Delhi Daredevils",2018,"Indian","OS","Spinner",8,144,"24.0",154,4,"6.42","36.00"
"354","Jayant Yadav","All-Rounder",1.7e+07,"Gujarat Titans",2022,"Indian","OS","Spinner",8,144,"24.0",154,4,"6.42","36.00"
"355","Jaydev Shah","All-Rounder",2e+06,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Jaydev Unadkat","Bowler",39375000,"Royal Challengers Bangalore",2013,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"357","Jaydev Unadkat","Bowler",2.8e+07,"Delhi Daredevils",2014,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"358","Jaydev Unadkat","Bowler",1.1e+07,"Delhi Daredevils",2015,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"359","Jaydev Unadkat","Bowler",1.6e+07,"Kolkata Knight Riders",2016,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"360","Jaydev Unadkat","Bowler",3e+06,"Rising Pune Supergiant",2017,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"361","Jaydev Unadkat","Bowler",1.15e+08,"Rajasthan Royals",2018,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"362","Jaydev Unadkat","Bowler",8.4e+07,"Rajasthan Royals",2019,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"363","Jaydev Unadkat","Bowler",3e+07,"Rajasthan Royals",2020,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"364","Jaydev Unadkat","Bowler",1.3e+07,"Mumbai Indians",2022,"Indian","LFM","Pacer",25,541,"90.1",762,22,"8.45","24.59"
"365","Jean-Paul Duminy","Batsman",2.2e+07,"Delhi Daredevils",2014,"Overseas","OS","Spinner",45,589,"98.1",747,23,"7.61","25.61"
"366","Jean-Paul Duminy","All-Rounder",1e+07,"Mumbai Indians",2018,"Overseas","OS","Spinner",45,589,"98.1",747,23,"7.61","25.61"
"367","Jeevan Mendis","All-Rounder",3750000,"Delhi Daredevils",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Jesse Ryder","All-Rounder",19500000,"Delhi Daredevils",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Jhye Richardson","Bowler",1.4e+08,"Punjab Kings",2021,"Overseas","RFM","Pacer",2,42,"7.0",68,2,"9.71","21.00"
"370","Jitesh Sharma","Wicket Keeper",1e+06,"Mumbai Indians",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Jitesh Sharma","Wicket Keeper",2e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Joe Denly","Batsman",1e+07,"Kolkata Knight Riders",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Joel Paris","Bowler",3e+06,"Delhi Daredevils",2016,"Overseas","LFM","Pacer",7,151,"25.1",209,5,"8.30","30.20"
"374","Jofra Archer","All-Rounder",7.2e+07,"Rajasthan Royals",2018,"Overseas","RFM","Pacer",4,90,"15.0",139,5,"9.27","18.00"
